"data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1992","State",NY,"New York","1992-01-15",1,0,2,2,0,"White","Non-Hispanic",2,"Vandalism",2,"Street",Antisemitic,"Adult","Yes","Yes"
"1992","State",FL,"Florida","1992-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Black,"Juvenile","No","No"
"1992","Local",TX,"Texas","1992-03-10",2,0,3,2,1,"Hispanic","Mexican",3,"Intimidation",3,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1992","Federal",CA,"California","1992-04-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Aggravated Assault",1,"Street",Antisemitic,"Adult","No","No"
"1992","State",IL,"Illinois","1992-05-01",0,0,1,1,0,"Native American","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-White,"Adult","Yes","No"
"1992","Local",OH,"Ohio","1992-06-15",2,1,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"1992","Federal",GA,"Georgia","1992-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Adult","No","No"
"1992","State",NJ,"New Jersey","1992-08-20",1,0,2,1,1,"Hispanic","Non-Hispanic",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1992","Local",NC,"North Carolina","1992-09-15",2,0,2,1,1,"White","Non-Hispanic",3,"Simple Assault",3,"Residence",Antisemitic,"Adult/Juvenile","Yes","No"
"1993","Federal",PA,"Pennsylvania","1993-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Vandalism",1,"Street",Anti-Asian,"Adult","No","No"
"1993","State",WA,"Washington","1993-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Juvenile","No","No"
"1993","Local",IN,"Indiana","1993-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Aggravated Assault",4,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1993","Federal",MS,"Mississippi","1993-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-White,"Adult","No","No"
"1993","State",MO,"Missouri","1993-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","Yes","No"
"1993","Local",KY,"Kentucky","1993-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Intimidation",3,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1993","Federal",SC,"South Carolina","1993-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-Black,"Adult","No","No"
"1993","State",DE,"Delaware","1993-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Simple Assault",3,"Residence",Antisemitic,"Adult/Juvenile","Yes","No"
"1993","Local",VT,"Vermont","1993-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Vandalism",3,"Business",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1994","Federal",RI,"Rhode Island","1994-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Asian,"Adult","No","No"
"1994","State",NV,"Nevada","1994-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-Black,"Juvenile","No","No"
"1994","Local",CT,"Connecticut","1994-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Simple Assault",4,"Residence",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1994","Federal",LA,"Louisiana","1994-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"1994","State",ME,"Maine","1994-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-White,"Adult","Yes","No"
"1994","Local",WV,"West Virginia","1994-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1994","Federal",TN,"Tennessee","1994-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Black,"Adult","No","No"
"1994","State",AR,"Arkansas","1994-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"1994","Local",AK,"Alaska","1994-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Intimidation",3,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1995","Federal",MD,"Maryland","1995-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-Asian,"Adult","No","No"
"1995","State",HI,"Hawaii","1995-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Black,"Juvenile","No","No"
"1995","Local",ID,"Idaho","1995-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Intimidation",4,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1995","Federal",WY,"Wyoming","1995-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"1995","State",MT,"Montana","1995-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-White,"Adult","Yes","No"
"1995","Local",ND,"North Dakota","1995-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Simple Assault",3,"Residence",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"1995","Federal",SD,"South Dakota","1995-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Adult","No","No"
"1995","State",NE,"Nebraska","1995-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"1995","Local",KS,"Kansas","1995-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2000","Federal",UT,"Utah","2000-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Asian,"Adult","No","No"
"2000","State",AZ,"Arizona","2000-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Juvenile","No","No"
"2000","Local",CO,"Colorado","2000-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Aggravated Assault",4,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2000","Federal",NV,"Nevada","2000-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"2000","State",WY,"Wyoming","2000-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-White,"Adult","Yes","No"
"2000","Local",ND,"North Dakota","2000-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2000","Federal",SD,"South Dakota","2000-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Black,"Adult","No","No"
"2000","State",NE,"Nebraska","2000-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"2000","Local",KS,"Kansas","2000-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Intimidation",3,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2001","Federal",ID,"Idaho","2001-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-Asian,"Adult","No","No"
"2001","State",HI,"Hawaii","2001-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Black,"Juvenile","No","No"
"2001","Local",VT,"Vermont","2001-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Intimidation",4,"Place of Worship",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2001","Federal",ME,"Maine","2001-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"2001","State",NH,"New Hampshire","2001-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-White,"Adult","Yes","No"
"2001","Local",RI,"Rhode Island","2001-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Simple Assault",3,"Residence",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2001","Federal",VT,"Vermont","2001-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Adult","No","No"
"2001","State",CT,"Connecticut","2001-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"2001","Local",DE,"Delaware","2001-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2002","Federal",MD,"Maryland","2002-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Asian,"Adult","No","No"
"2002","State",WY,"Wyoming","2002-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Juvenile","No","No"
"2002","Local",KY,"Kentucky","2002-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Aggravated Assault",4,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2002","Federal",GA,"Georgia","2002-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"2002","State",OK,"Oklahoma","2002-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-White,"Adult","Yes","No"
"2002","Local",SC,"South Carolina","2002-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Simple Assault",3,"Residence",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2002","Federal",NC,"North Carolina","2002-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Adult","No","No"
"2002","State",TN,"Tennessee","2002-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
"2002","Local",VA,"Virginia","2002-09-15",2,0,2,1,1,"Hispanic","Mexican",3,"Aggravated Assault",3,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2003","Federal",IA,"Iowa","2003-01-01",1,0,1,1,0,"Asian/Pacific Islander","Non-Hispanic",1,"Simple Assault",1,"Residence",Anti-Asian,"Adult","No","No"
"2003","State",KS,"Kansas","2003-02-20",0,1,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Juvenile","No","No"
"2003","Local",WV,"West Virginia","2003-03-10",2,0,3,2,1,"Hispanic","Mexican",4,"Aggravated Assault",4,"Street",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2003","Federal",OH,"Ohio","2003-04-01",1,0,1,1,0,"Native American","Non-Hispanic",1,"Vandalism",1,"Business",Anti-LGBTQ+,"Adult","No","No"
"2003","State",MO,"Missouri","2003-05-01",0,0,1,1,0,"White","Non-Hispanic",1,"Aggravated Assault",1,"Street",Anti-White,"Adult","Yes","No"
"2003","Local",IL,"Illinois","2003-06-15",2,1,2,1,1,"Hispanic","Non-Hispanic",3,"Simple Assault",3,"Residence",Anti-Hispanic,"Adult/Juvenile","Yes","No"
"2003","Federal",MI,"Michigan","2003-07-04",1,0,1,1,0,"Black","Non-Hispanic",1,"Intimidation",1,"Place of Worship",Anti-Black,"Adult","No","No"
"2003","State",WI,"Wisconsin","2003-08-20",1,0,2,1,1,"White","Non-Hispanic",3,"Vandalism",3,"Business",Anti-LGBTQ+,"Adult/Juvenile","Yes","No"
