"date","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1995-01-01","1995","State",NY,"New York","1995-01-01",1,0,1,1,0,"White","Not Hispanic or Latino",1,"Vandalism","1","New York City","Anti-Jewish","Adults Only",false,false
"1992-06-15","1992","Local",CA,"California","1992-06-15",0,1,1,1,0,"Black","Not Hispanic or Latino",1,"Simple Assault","1","Los Angeles, CA","Anti-Black","Minors Only",true,false
"1991-09-20","1991","Federal","US","United States","1991-09-20",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Intimidation","2","Washington, D.C.","Anti-Government","Adults Only",false,true
"1993-05-25","1993","Local",TX,"Texas","1993-05-25",0,1,1,1,0,"Asian","Not Hispanic or Latino",1,"Vandalism","1","Houston, TX","Anti-Asian","Minors Only",false,false
"1994-03-10","1994","State",FL,"Florida","1994-03-10",1,0,1,1,0,"White","Not Hispanic or Latino",1,"Simple Assault","1","Miami, FL","Anti-White","Adults Only",true,false
"1992-11-22","1992","Federal","US","United States","1992-11-22",0,1,1,0,1,"Black","Not Hispanic or Latino",1,"Intimidation","1","New York City","Anti-Government","Minors Only",true,false
"1996-08-12","1996","Local",GA,"Georgia","1996-08-12",0,1,1,1,0,"White","Not Hispanic or Latino",1,"Vandalism","1","Atlanta, GA","Anti-Christian","Minors Only",false,false
"1993-10-15","1993","State",OH,"Ohio","1993-10-15",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Simple Assault","2","Columbus, OH","Anti-Homosexual","Adults Only",true,false
"1995-12-01","1995","Local",NC,"North Carolina","1995-12-01",0,1,1,1,0,"Black","Not Hispanic or Latino",1,"Vandalism","1","Charlotte, NC","Anti-Black","Minors Only",false,false
"1994-02-20","1994","Federal","US","United States","1994-02-20",0,1,1,1,0,"White","Not Hispanic or Latino",1,"Simple Assault","1","Washington, D.C.","Anti-Government","Adults Only",false,false
