"activity_year","derived_msa-md","state_code","county_code","census_tract","derived_loan_product_type","derived_dwelling_category","derived_ethnicity","derived_race","derived_sex","action_taken","loan_purpose","loan_amount","loan_to_value_ratio","interest_rate","rate_spread","hoepa_status","total_loan_costs","total_points_and_fees","origination_charges","discount_points","lender_credits","loan_term","prepayment_penalty_term","intro_rate_period","negative_amortization","interest_only_payment","balloon_payment","other_nonamortizing_features","property_value","construction_method","occupancy_type","manufactured_home_secured_property_type","manufactured_home_land_property_interest","total_units","multifamily_affordable_units","income","debt_to_income_ratio","applicant_credit_score_type","co-applicant_credit_score_type","applicant_ethnicity-1","co-applicant_ethnicity-1","applicant_ethnicity_observed","co-applicant_ethnicity_observed","applicant_race-1","co-applicant_race-1","applicant_race_observed","co-applicant_race_observed","applicant_sex","co-applicant_sex","applicant_sex_observed","co-applicant_sex_observed","applicant_age","co-applicant_age","applicant_age_above_62","co-applicant_age_above_62","submission_of_application","initially_payable_to_institution"
"2024","New York-Northern New Jersey-Long Island, NY-NJ-PA","NY","36083.0","36083030500.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Los Angeles-Long Beach-Anaheim, CA","CA","40037.0","40037051300.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","6","32","225000.0","6.875","2","16692.05","10197.8","8302.8","300.0","","","2","2","2","2","275000.0","1","1","3","5","1","","","9","9","4.0","4.0","3","3","7.0","7.0","3","3","4","4","3","3","8888","8888","","","3","3"
"2024","Chicago-Naperville-Elgin, IL-IN-WI","IL","9052.0","90521093200.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","Application denied","32","355000.0","","","3","","","","","","2","2","2","2","","","1","1","3","5","1","","","108.0","","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","65-74","9999","Yes","","1","1"
"2024","Dallas-Fort Worth-Arlington, TX","TX","25173.0","25173251600.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File approved but not accepted by applicant","32","275000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Washington-Baltimore-Arlington, DC-MD-VA-WV","DC","21011.0","21011070100.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Houston-The Woodlands-Sugar Land, TX","TX","7124.0","71241240100.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","6","32","225000.0","6.875","2","16692.05","10197.8","8302.8","300.0","","","2","2","2","2","275000.0","1","1","3","5","1","","","9","9","4.0","4.0","3","3","7.0","7.0","3","3","4","4","3","3","8888","8888","","","3","3"
"2024","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","PA","23156.0","23156211000.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Atlanta-Sandy Springs-Alpharetta, GA","GA","20942.0","20942031900.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Miami-Fort Lauderdale-West Palm Beach, FL","FL","21588.0","21588240600.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","San Jose-Sunnyvale-Santa Clara, CA","CA","12144.0","12144031200.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","Application denied","32","355000.0","","","3","","","","","","2","2","2","2","","","1","1","3","5","1","","","108.0","","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","65-74","9999","Yes","","1","1"
