activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,"New York-Northern NJ-NY-NJ, NY-NJ",34,055,9147603100.0,FHA:Fixed Rate,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,File closed for incompleteness,32,29200.0,0.9403105,4.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,1,1,3,2,65-74,3700,Yes,4,3,,,,,,,,,,,,,,
2024,"San Jose-Sunnyvale-Santa Clara, CA",06,101,9254107100.0,VA:Adjustable Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan funded,24,31000.0,0.8636215,3.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,35-44,1300,No,4,3,,,,,,,,,,,,,,,,
2024,"Chicago-Naperville-Elgin, IL-IN-WI",17,059,9144604100.0,Conventional:Fixed Rate,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,Loan funded,36,32000.0,0.8386548,4.0,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,45-54,700,No,4,3,,,,,,,,,,,,,,,,
2024,"Los Angeles-Long Beach-Anaheim, CA",06,019,9247804100.0,FHA:Adjustable Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan funded,24,26000.0,0.8883954,3.0,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,55-64,4600,No,4,3,,,,,,,,,,,,,,,,
2024,"Washington-Arlington-Alexandria, DC-VA-MD",24,041,9260007100.0,VA:Fixed Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan funded,12,39000.0,0.9403105,4.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,25-34,1500,No,4,3,,,,,,,,,,,,,,,,
2024,"Dallas-Fort Worth-Arlington, TX",48,049,9284404100.0,Conventional:Adjustable Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan funded,36,34000.0,0.9987502,4.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,65-74,2300,No,4,3,,,,,,,,,,,,,,,,
2024,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34,031,9131803100.0,FHA:Adjustable Rate,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan funded,24,30000.0,0.8636215,3.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,55-64,1400,No,4,3,,,,,,,,,,,,,,,,
2024,"Boston-Cambridge-Nashua, MA-NH",25,014,9294604100.0,VA:Fixed Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan funded,12,40000.0,0.9403105,4.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,45-54,5000,Yes,4,3,,,,,,,,,,,,,,,,
2024,"Seattle-Tacoma-Bellevue, WA",53,181,9238804100.0,Conventional:Fixed Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan funded,36,28000.0,0.8386548,4.0,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,35-44,2200,No,4,3,,,,,,,,,,,,,,,,
2024,"Denver-Aurora-Lakewood, CO",08,071,9274404100.0,FHA:Adjustable Rate,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan funded,24,29000.0,0.8636215,3.5,0,0,3,0,0,0,2,2,240,0,2,2,1,1,2,1,1,1,1,1,3,2,55-64,3100,No,4,3,,,,,,,,,,,,,,,,
