data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2014,Other,NY,New York,2014-12-31,0.5,0.0,1,0.5,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,0.5,Park/Recreation Area,Anti-Latinx (Hispanic),Individual,S,S
2013,City,IL,Illinois,2013-09-16,0.0,1.0,1,1.0,0.0,White,Not Specified,1,Rape/Revenge Rape,1.0,Business/Commercial,Anti-White,Individual,S,S
2010,Other,MA,Massachusetts,2010-10-23,0.5,0.0,1,0.5,0.0,Asian or Pacific Islander,Not Hispanic or Latino,1,Aggravated Assault,0.5,Nursing Home/Residential Facility,Anti-Asian,Individual,S,S
2007,Other,IN,Indiana,2007-09-16,0.0,1.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Rape/Revenge Rape,1.0,Cemetery,Anti-Gay (Male),Individual,S,S
2005,City,PA,Pennsylvania,2005-06-03,0.0,0.0,1,0.0,0.0,White,Not Specified,1,Simple Assault,0.0,Church/Religious Institution,Anti-White,Individual,S,S
2002,Other,OH,Ohio,2002-04-19,0.5,0.0,1,0.5,0.0,Asian or Pacific Islander,Not Hispanic or Latino,1,Aggravated Assault,0.5,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
2001,Other,NE,Nebraska,2001-09-16,0.0,1.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Rape/Revenge Rape,1.0,School/College,Anti-Gay (Male),Individual,S,S
2000,City,NJ,New Jersey,2000-05-28,0.0,0.0,1,0.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1998,Other,MD,Maryland,1998-06-04,,,,,,,,,,,,,,,
2013,City,TX,Texas,2013-06-23,2.0,0.0,1,1.0,0.0,White,Not Specified,1,Destruction/Damage/Vandalism of Property,2.0,School/College,Anti-Hispanic or Latino,Individual,S,S
1995,City,NY,New York,1995-08-17,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
2000,Other,PA,Pennsylvania,2000-07-19,2.0,0.0,1,1.0,0.0,White,Not Specified,1,Destruction/Damage/Vandalism of Property,2.0,Business,Anti-Gay (Male),Individual,S,S
1998,City,FL,Florida,1998-07-16,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
2021,Other,IL,Illinois,2021-07-14,3.0,0.0,2,3.0,0.0,Black or African American,Not Hispanic or Latino,2,Rape,3.0,Air/Bus/Train Terminal,Anti-Male,Individual,S,S
1994,City,NC,North Carolina,1994-06-08,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
2017,City,CT,Connecticut,2017-06-19,3.0,0.0,2,3.0,0.0,White,Not Specified,2,Destruction/Damage/Vandalism of Property,3.0,School/College,Anti-Gay (Male),Individual,S,S
1996,Other,WI,Wisconsin,1996-06-05,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
2005,City,IN,Indiana,2005-06-19,3.0,0.0,2,3.0,0.0,White,Not Specified,2,Destruction/Damage/Vandalism of Property,3.0,Business,Anti-Male,Individual,S,S
2013,Other,MD,Maryland,2013-09-24,0.5,0.0,1,0.5,Not Specified,0.5,Sexual Assault (Rape),0.5,Park/Beach/Playground,Anti-Lesbian/Gay/Bisexual/Queer,Individual,S,N,,
2009,City,NY,New York,2009-07-13,1,0.0,1,1.0,Not Specified,1,Robbery,1.0,Subway/Trolley/Tram,Anti-Semitic,Individual,N,N,,
1996,Other,OH,Ohio,1996-03-12,,,1,,,White,Not Specified,1,Threats/Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Latino/Hispanic,Individual,N,N
2011,Other,IN,Indiana,2011-06-28,2.5,0.0,1,2.5,Not Specified,2.5,Arson,2.5,Park/Beach/Playground,Anti-Arab/Middle Eastern,Individual,N,N,,
2003,City,AZ,Arizona,2003-04-16,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,School/College,Anti-Black or African American,Individual,N,N
1995,Other,KY,Kentucky,1995-02-14,,,1,,,White,Not Specified,1,Rape,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,N,N
2014,Other,NE,Nebraska,2014-05-09,0.5,0.0,1,0.5,Not Specified,0.5,Destruction/Damage/Vandalism of Property,0.5,Air/Bus/Train Terminal,Anti-Asian,Individual,N,N,,
2006,Other,LA,Louisiana,2006-07-18,0.5,0.0,1,0.5,Not Specified,0.5,Robbery,0.5,Park/Beach/Playground,Anti-Latino/Hispanic,Individual,N,N,,
2013,Other,MI,Michigan,2013-06-06,1.5,0.0,1,1.5,Not Specified,1.5,Threats/Intimidation,1.5,Highway/Road/Alley/Street/Sidewalk,Anti-Semitic,Individual,N,N,,
