data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2014,FBI,CA,California,2014-10-01,2,3,5,3,0,White,Hispanic,5,Assault,10,Public Transportation,Racial,No,Yes,
2012,DOJ,TX,Texas,2012-06-01,4,1,7,6,1,Black,Not Hispanic/Latino,3,Aggravated Assault,9,School,Hate Crime,No,No,
2001,FBI,NY,New York,2001-02-01,1,1,2,2,0,Asian,Not Hispanic/Latino,2,Criminal Threatening,4,Street,Religious,No,No,
1996,DOJ,FL,Florida,1996-07-01,3,0,4,4,0,Black,Not Hispanic/Latino,5,Aggravated Assault,8,Highway,Racial,Yes,No,
2008,FBI,OH,Ohio,2008-09-01,0,0,2,2,0,White,Not Hispanic/Latino,3,Robbery,6,Parking Lot,Ethnicity,Yes,No,
2011,DOJ,GA,Georgia,2011-05-01,1,1,3,3,0,Asian,Not Hispanic/Latino,3,Assault,7,Street,Sexual Orientation,No,Yes,
1994,FBI,IN,Indiana,1994-06-01,2,0,3,3,0,Black,Not Hispanic/Latino,4,Aggravated Assault,9,Parking Lot,Racial,No,No,
1998,DOJ,MI,Michigan,1998-10-01,1,0,2,2,0,Asian,Not Hispanic/Latino,3,Robbery,7,Street,Ethnicity,Yes,No,
2005,FBI,AZ,Arizona,2005-08-01,3,0,4,4,0,Black,Not Hispanic/Latino,4,Aggravated Assault,9,Street,Racial,Yes,No,
2013,DOJ,IL,Illinois,2013-07-01,1,1,3,3,0,Asian,Not Hispanic/Latino,4,Assault,8,Highway,Sexual Orientation,Yes,No,
