data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2014,FBI,CA,California,2014-10-01,2,3,5,3,0,White,Hispanic,5,Assault,10,Public Transportation,Racial,No,Yes,
2012,DOJ,TX,Texas,2012-06-01,4,1,7,6,1,Black,Not Hispanic/Latino,3,Aggravated Assault,9,School,Hate Crime,No,No,
2001,FBI,NY,New York,2001-02-01,1,1,2,2,0,Asian,Not Hispanic/Latino,2,Criminal Threatening,4,Street,Religious,No,No,
1996,DOJ,FL,Florida,1996-07-01,3,0,4,4,0,Black,Not Hispanic/Latino,5,Aggravated Assault,8,Highway,Racial,Yes,No,
2008,FBI,OH,Ohio,2008-09-01,0,0,2,2,0,White,Not Hispanic/Latino,3,Robbery,6,Parking Lot,Ethnicity,Yes,No,
2011,DOJ,GA,Georgia,2011-05-01,1,1,3,3,0,Asian,Not Hispanic/Latino,3,Assault,7,Street,Sexual Orientation,No,Yes,
1994,FBI,IN,Indiana,1994-06-01,2,0,3,3,0,Black,Not Hispanic/Latino,4,Aggravated Assault,9,Parking Lot,Racial,No,No,
1998,DOJ,MI,Michigan,1998-10-01,1,0,2,2,0,Asian,Not Hispanic/Latino,3,Robbery,7,Street,Ethnicity,Yes,No,
2005,FBI,AZ,Arizona,2005-08-01,3,0,4,4,0,Black,Not Hispanic/Latino,4,Aggravated Assault,9,Street,Racial,Yes,No,
2013,DOJ,IL,Illinois,2013-07-01,1,1,3,3,0,Asian,Not Hispanic/Latino,4,Assault,8,Highway,Sexual Orientation,Yes,No,
2014,FBI,CA,California,1/1/2015,3,0,4,0,White,Hispanic,6,Assault,3,Los Angeles,Racial,Black,No,,
2013,Police Department,IN,Indiana,2/14/2013,2,1,3,1,Asian,Asian,5,Vandalism,3,Indianapolis,Religious,Jewish,No,No,
2012,FBI,FL,Florida,3/10/2012,1,1,2,1,Black,African American,4,Robbery,1,Tampa,Sexual Orientation,Gay,Yes,No,
2011,Sheriff's Department,WI,Wisconsin,5/20/2011,0,1,1,1,White,Non-Hispanic White,3,Disorderly Conduct,1,Milwaukee,Ethnicity,Italian,No,No,
2010,FBI,NY,New York,6/15/2010,2,0,2,0,Asian,Asian,3,Robbery,1,New York City,Religious,Muslim,Yes,No,
2009,Police Department,IL,Illinois,7/25/2009,4,0,5,0,White,Non-Hispanic White,6,Burglary,2,Chicago,Ethnicity,Indian,No,No,
2008,FBI,MA,Massachusetts,8/10/2008,2,0,2,0,Black,African American,5,Assault,3,Boston,Sexual Orientation,Lesbian,Yes,No,
2007,Sheriff's Department,MD,Maryland,9/12/2007,1,1,2,1,White,Non-Hispanic White,4,Vandalism,2,Baltimore,Racial,Black,Yes,No,
2006,FBI,NH,New Hampshire,10/5/2006,0,1,1,1,Asian,Asian,3,Disorderly Conduct,1,Manchester,Ethnicity,Chinese,No,No,
2005,Police Department,MI,Michigan,11/15/2005,0,0,1,0,White,Non-Hispanic White,4,Vandalism,2,Detroit,Religious,Jewish,Yes,No,
