data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
,FBI Headquarters,DC,District of Columbia,1991-01-01,2,0,3,3,0,White,American,2,Assault,2,Capitol Building,Race,Male,Yes,Ethnicity
Detroit PD,MI,Michigan,1991-04-15,6,3,8,7,1,2,Black,Hispanic,12,Robbery,12,Detroit,"Race, Ethnicity",Both,Yes,Ethnicity
LAPD,CA,California,1992-03-31,4,2,5,4,1,4,Asian,Pacific Islander,6,Murder,6,Los Angeles,Race,Both,Yes,Race
NYPD,NY,New York,1993-07-04,8,0,12,12,0,0,White,Jewish,8,Assault,8,Times Square,Religion,Multiple Offense,No,Religion
Chicago PD,IL,Illinois,1994-05-31,7,1,10,8,2,0,Black,African American,8,Hate Mail,8,Chicago,Race,Multiple Offense,No,Bias
Philadelphia PD,PA,Pennsylvania,1996-10-31,5,4,7,7,0,7,White,Irish,9,Intimidation,9,Philadelphia,National Origin,Both,Yes,National Origin
Seattle PD,WA,Washington,2001-09-11,3,2,5,4,1,4,Arab,Muslim,5,Destruction of Property,5,Seattle,Religion,Multiple Offense,No,Bias
Houston PD,TX,Texas,2006-08-17,6,3,9,7,2,2,Hispanic,Mexican American,9,Assault,9,Houston,Ethnicity,Multiple Offense,Yes,Bias
San Francisco PD,CA,California,2008-06-15,4,0,6,6,0,6,Asian,Chinese,4,Robbery,4,San Francisco,Race,Multiple Offense,No,Race
Baltimore PD,MD,Maryland,2014-03-27,9,4,13,11,2,2,Black,African American,13,Intimidation,13,Baltimore,Race,Multiple Offense,Yes,Bias
,FBI,CA,California,1992-03-15,4,0,3,3,0,White,Hispanic,4,Assault,4,Restaurant,Hate Incident - Racial,Male,false,true
,FBI,NY,New York,1993-07-04,2,1,2,Asian,Unknown,1,Black,Not Specified,3,Robbery,3,School,Student,false,false
,FBI,FL,Florida,1994-10-31,6,1,7,White,Hispanic,1,Jewish,Not Specified,7,Vandalism,7,Synagogue,Congregation,true,false
,FBI,TX,Texas,1995-08-27,5,3,8,Black,Unknown,3,White,Not Specified,11,Intimidation,11,Church,Parishioners,false,true
,FBI,IL,Illinois,1996-02-20,3,2,5,Hispanic,Unknown,2,Black,Not Specified,5,Assault,5,Park,Citizens,false,false
,FBI,PA,Pennsylvania,1997-04-19,7,0,7,White,Not Specified,7,Jewish,Not Specified,7,Burglary,7,Business,Employees,true,false
,FBI,NJ,New Jersey,1998-06-23,2,1,3,Asian,Unknown,1,Gay,Not Specified,3,Stalking,3,Apartment Building,Residents,false,false
,FBI,WA,Washington,1999-07-05,4,0,6,White,Hispanic,0,Native American,Not Specified,4,Vandalism,4,Tribal Center,Members,true,false
,FBI,OH,Ohio,2000-10-31,5,2,7,Black,Unknown,2,White,Not Specified,7,Robbery,7,Mall,Shoppers,false,false
,FBI,MI,Michigan,2001-08-12,6,1,7,White,Unknown,1,Gay,Not Specified,7,Arson,7,Club,Patrons,true,false
