```csv
data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1998,County Police,WY,Wyoming,1998-07-22,2,0,3,2,1,White,Not Hispanic,2,Vandalism,2,Residential Area,Anti-White,Race,0,0
1996,Municipal Police,VA,Virginia,1996-04-12,1,1,2,2,0,White,Hispanic,2,Intimidation,2,Highway,Anti-Gay (Male),Sexual Orientation,0,1
2001,County Police,AK,Alaska,2001-10-15,1,0,1,1,0,Black or African American,Not Hispanic,1,Aggravated Assault,1,Residential Area,Anti-Black or African American,Race,0,0
2004,University or College Police,SC,South Carolina,2004-03-03,3,0,2,2,0,White,Not Hispanic,3,Intimidation,3,Religious Institution,Anti-Jewish,Religion,0,0
1994,County Police,MT,Montana,1994-11-11,1,0,2,2,0,White,Not Hispanic,1,Simple Assault,1,Residential Area,Anti-White,Race,0,0
2007,County Sheriff's Office,TX,Texas,2007-06-09,2,1,4,3,1,White,Not Hispanic,3,Simple Assault,3,Commercial/Office Building,Anti-Asian,Race,0,0
1999,County Police,MI,Michigan,1999-08-05,1,0,1,1,0,Asian,Not Hispanic,1,Vandalism,1,Residential Area,Anti-Hispanic or Latino,Ethnicity/National Origin,0,0
2009,Municipal Police,PA,Pennsylvania,2009-12-02,1,1,3,2,1,White,Not Hispanic,2,Vandalism,2,Public Parking,Anti-Gay (Male),Sexual Orientation,0,0
2003,County Police,CA,California,2003-05-19,2,0,3,3,0,White,Not Hispanic,2,Aggravated Assault,2,.street,Anti-White,Race,0,0
2006,County Police,MD,Maryland,2006-09-18,3,0,3,3,0,Black or African American,Not Hispanic,3,Intimidation,3,Public Street,Anti-Black or African American,Race,0,0
2002,County Police,GA,Georgia,2002-02-14,2,1,3,2,1,White,Not Hispanic,3,Simple Assault,3,Residential Area,Anti-Gay (Male),Sexual Orientation,0,0
1993,County Police,FL,Florida,1993-07-21,1,0,2,2,0,White,Not Hispanic,1,Aggravated Assault,1,Residential Area,Anti-Asian,Race,0,0
2010,County Police,IL,Illinois,2010-10-27,1,0,1,1,0,Black or African American,Not Hispanic,1,Intimidation,1,Religious Institution,Anti-Jewish,Religion,0,0
2013,County Police,NC,North Carolina,2013-11-22,1,1,2,1,1,White,Not Hispanic,2,Simple Assault,2,Residential Area,Anti-White,Race,0,0
2000,County Police,NY,New York,2000-01-25,1,0,2,2,0,White,Not Hispanic,1,Vandalism,1,Public Parking,Anti-Gay (Male),Sexual Orientation,0,0
1995,County Police,HI,Hawaii,1995-06-15,1,0,1,1,0,White,Not Hispanic,1,Vandalism,1,Public Street,Anti-Asian,Race,0,0
2008,County Police,MO,Missouri,2008-08-30,2,0,3,3,0,White,Not Hispanic,2,Aggravated Assault,2,Residential Area,Anti-White,Race,0,0
1997,County Police,OR,Oregon,1997-04-02,1,0,2,2,0,White,Not Hispanic,1,Simple Assault,1,Public Street,Anti-Black or African American,Race,0,0
1992,County Police,IN,Indiana,1992-02-18,2,1,3,2,1,White,Not Hispanic,3,Intimidation,3,Religious Institution,Anti-Jewish,Religion,0,0
2014,County Police,CO,Colorado,2014-09-12,1,0,1,1,0,White,Not Hispanic,1,Vandalism,1,Public School,Anti-Gay (Male),Sexual Orientation,0,0
