data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
2011,Police Department,AL,Alabama,2011-05-23,2,0,3,2,1,White,Non-Hispanic,2,Simple Assault,2,Residence,Anti-Black,Individual,No,No
2005,Police Department,AK,Alaska,2005-08-12,1,0,1,1,0,White,Non-Hispanic,1,Aggravated Assault,1,Bar or Nightclub,Anti-Gay (Male),Individual,No,No
2007,Police Department,AR,Arkansas,2007-11-15,1,0,2,1,1,Black or African American,Non-Hispanic,1,Intimidation,1,Convenience Store,Anti-White,Individual,No,No
2013,Police Department,CA,California,2013-06-08,1,0,1,1,0,White,Non-Hispanic,1,Vandalism,1,Workplace,Anti-Islamic,Individual,No,No
2009,Police Department,CO,Colorado,2009-09-21,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Street,Anti-Asian,Individual,No,No
2012,Police Department,CT,Connecticut,2012-12-14,1,0,1,1,0,White,Non-Hispanic,1,Aggravated Assault,1,Highway or Road,Anti-Transgender,Individual,No,No
2006,Police Department,DE,Delaware,2006-04-05,1,0,2,2,0,White,Non-Hispanic,1,Intimidation,1,Workplace,Anti-Jewish,Individual,No,No
2014,Police Department,FL,Florida,2014-07-10,1,0,1,1,0,Black or African American,Non-Hispanic,1,Simple Assault,1,Convenience Store,Anti-Black,Individual,No,No
2008,Police Department,GA,Georgia,2008-03-12,1,0,1,1,0,White,Non-Hispanic,1,Aggravated Assault,1,Church,Anti-Gay (Female),Individual,No,No
2010,Police Department,HI,Hawaii,2010-02-24,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Bar or Nightclub,Anti-Asian,Individual,No,No
2003,Police Department,IA,Iowa,2003-11-20,1,0,1,1,0,Black or African American,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Individual,No,No
2011,Police Department,ID,Idaho,2011-08-18,1,0,1,1,0,White,Hispanic,1,Aggravated Assault,1,College or University,Anti-Hispanic,Individual,No,No
2006,Police Department,IL,Illinois,2006-09-25,1,0,2,2,0,White,Non-Hispanic,1,Intimidation,1,Bar or Nightclub,Anti-Black,Individual,No,No
2014,Police Department,IN,Indiana,2014-06-15,1,0,1,1,0,Black or African American,Non-Hispanic,1,Simple Assault,1,Residence,Anti-White,Individual,No,No
2009,Police Department,KS,Kansas,2009-07-02,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Workplace,Anti-Jewish,Individual,No,No
2005,Police Department,KY,Kentucky,2005-03-17,1,0,2,1,1,White,Non-Hispanic,1,Aggravated Assault,1,Street,Anti-Asian,Individual,No,No
2011,Police Department,LA,Louisiana,2011-04-22,1,0,1,1,0,Black or African American,Non-Hispanic,1,Simple Assault,1,Convenience Store,Anti-Black,Individual,No,No
2007,Police Department,ME,Maine,2007-10-01,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Bar or Nightclub,Anti-Gay (Male),Individual,No,No
2013,Police Department,MD,Maryland,2013-11-28,1,0,1,1,0,White,Hispanic,1,Aggravated Assault,1,Workplace,Anti-Hispanic,Individual,No,No
2008,Police Department,MA,Massachusetts,2008-02-14,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Convenience Store,Anti-Black,Individual,No,No
2010,Police Department,MI,Michigan,2010-05-30,1,0,1,1,0,Black or African American,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Individual,No,No
2003,Police Department,MN,Minnesota,2003-12-10,1,0,1,1,0,White,Non-Hispanic,1,Aggravated Assault,1,Bar or Nightclub,Anti-Asian,Individual,No,No
2011,Police Department,MO,Missouri,2011-07-23,1,0,2,1,1,White,Non-Hispanic,1,Intimidation,1,Workplace,Anti-Jewish,Individual,No,No
2006,Police Department,MS, Mississippi,2006-09-05,1,0,1,1,0,Black or African American,Non-Hispanic,1,Simple Assault,1,Residence,Anti-White,Individual,No,No
2014,Police Department,MT,Montana,2014-04-18,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Bar or Nightclub,Anti-Gay (Male),Individual,No,No
2009,Police Department,NE,Nebraska,2009-08-27,1,0,2,2,0,White,Hispanic,1,Aggravated Assault,1,Workplace,Anti-Hispanic,Individual,No,No
2005,Police Department,NV,Nevada,2005-06-19,1,0,1,1,0,Black or African American,Non-Hispanic,1,Simple Assault,1,Convenience Store,Anti-Black,Individual,No,No
2011,Police Department,NH,New Hampshire,2011-03-12,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Bar or Nightclub,Anti-Gay (Male),Individual,No,No
2007,Police Department,NJ,New Jersey,2007-10-28,1,0,1,1,0,White,Hispanic,1,Aggravated Assault,1,Workplace,Anti-Hispanic,Individual,No,No
